imdbID,Title,Type,Year,Released,Runtime (min),Genre,Director,Writer,Actors,Plot,Language,Country,imdbVotes,imdbRating
tt0001000,The Peachbasket Hat,movie,1909,24-Jun-09,7,"Short, Comedy",D.W. Griffith,D.W. Griffith,"John R. Cumpson, Florence Lawrence, Anita Hendrie","No more popular fad has ever struck the feminine fancy than the peachbasket hat. This is a creation of headgear that for size outstrips anything yet designed by the disordered mind of the modiste. As a ""skypiece"" it is a ""skyscrap...","None, English",United States,64,5.5
tt0001400,The Song of the Wildwood Flute,movie,1910,21-Nov-10,17,"Drama, Short",D.W. Griffith,Mrs. James H. Ryan,"Dark Cloud, Mary Pickford, Francis J. Grandon","In the opening scene is shown the Corn Dance, which is a ceremonial performed in thanksgiving to the Great Master for his bountiful yield of crops. This dance is performed each year at the harvest. During the course of the dance, ...","None, English",United States,17,5.9
tt0008133,The Immigrant,movie,1917,17-Jun-17,30,"Short, Comedy, Drama",Charles Chaplin,"Charles Chaplin, Vincent Bryan, Maverick Terrell","Charles Chaplin, Edna Purviance, Eric Campbell",Charlie is an immigrant who endures a challenging voyage and gets into trouble as soon as he arrives in America.,English,United States,"9,413",7.6
tt0011880,The Wonder Man,movie,1920,29-May-20,70,"Adventure, Drama",John G. Adolfi,"Joseph Farnham, David Carson Goodman","Georges Carpentier, Faire Binney, Florence Billings",French Secret Service agent and boxer Henri D'Alour uncovers a plot to con the government out of millions of francs in its purchase of machinery.,"None, English",United States,19,6.4
tt0012973,The Burning Soil,movie,1922,24-Apr-22,98,Drama,F.W. Murnau,"Willy Haas, Arthur Rosen, Thea von Harbou","Werner Krauss, Eugen Klöpfer, Vladimir Gajdarov","When farmer Rog dies, his son Peter stays, but Johannes can not be satisfied with such a condition (and servant Maria's love) and finds a job as old Count Rudenberg's secretary. His ambition leads him to charm Gerda, the Count's u...",None,Germany,790,6.9
tt0013773,With Stanley in Africa,movie,1922,23-Jan-22,360,"Action, Adventure","William James Craft, Edward A. Kull",George H. Plympton,"George Walsh, Louise Lorraine, Charles Mason",A young lady reporter helps a newspaperman in his search throughout Africa for the famous Dr. Livingstone.,"None, English",United States,22,4
tt0014702,Beau Brummel,movie,1924,30-Mar-24,135,"Drama, History, Romance",Harry Beaumont,"Clyde Fitch, Dorothy Farnum","John Barrymore, Mary Astor, Willard Louis","George Bryan Brummel, a British military officer, loves Lady Margery, the betrothed of Lord Alvanley. Despite her own desperate love for Brummel, she submits to family pressure and marries Lord Alvanley. Brummel, broken-hearted, e...",English,United States,530,6.6
tt0015164,Near Dublin,movie,1924,11-May-24,20,"Comedy, Short",Ralph Ceder,H.M. Walker,"Stan Laurel, Ena Gregory, James Finlayson","In Shitlalah where Carrigan (Stan Laurel) works as a postman, quarrels and parties all end up in the same way: everybody gets beat up with bricks. Directed by Ralph Ceder, an extremely prolific maker of comedic shorts in the 1920s...","None, English",United States,73,5.6
tt0021023,Kathleen Mavourneen,movie,1930,20-Jun-30,55,"Drama, Romance",Albert Ray,"Dion Boucicault, Frances Hyland, Thomas Moore","Sally O'Neil, Charles Delaney, Robert Elliott","Fresh off the boat Irish lass is courted by wealthy political boss, ends up with her long-time plumber boyfriend. Much singing and dancing.",English,United States,65,5.7
tt0022609,The Admiral's Secret,movie,1934,06-Aug-34,63,Comedy,Guy Newall,"Cyril Campion, Edward Dignon, Terence Egan","Edmund Gwenn, Aubrey Mather, James Raglan","1934. Comedy. Directed by Guy Newall and starring Edmund Gwenn, James Raglan and Hope Davy. A retired admiral who has a valuable diamond is pursued by crooks intent on getting the gem.",English,United Kingdom,41,5.1
tt0023631,Two-Fisted Law,movie,1932,08-Jun-32,64,"Adventure, Drama, Western",D. Ross Lederman,William Colt MacDonald,"Tim McCoy, Alice Day, Wheeler Oakman","After Rob Russell steals Tim Clark's ranch, Clark starts prospecting for silver.",English,United States,468,5.5
tt0023882,The Charming Deceiver,movie,1933,01-Jul-33,86,"Comedy, Music, Mystery",Monty Banks,"Fred Thompson, Victor Kendall","Constance Cummings, Frank Lawton, Binnie Barnes",A model inherits a great deal of money and pretends to be a movie star.,"French, English",United Kingdom,38,6.5
tt0024250,Let's Dance,movie,1933,17-Mar-33,11,"Comedy, Short",Aubrey Scotto,George Burns,"George Burns, Gracie Allen, Barton MacLane","Sailor George and his pals visit the Roseland Dance Hall, where funny things happen between conversations with dizzy hostess Gracie.",English,United States,30,6.2
tt0024554,A Shriek in the Night,movie,1933,22-Jul-33,66,"Crime, Mystery, Romance",Albert Ray,"Kurt Kempler, Frances Hyland","Ginger Rogers, Lyle Talbot, Harvey Clark",Pat Morgan and Ted Kord are rival newspaper reporters always trying to outscoop each other. They join together to solve a series of murders being committed in an apartment building.,English,United States,"1,105",5.3
tt0024952,Caravan,movie,1934,03-Feb-34,101,Musical,Erik Charell,"Erik Charell, Hanns Kräly, Melchior Lengyel","Charles Boyer, Loretta Young, Jean Parker",Member of royal family is forced to marry a vagabond.,English,United States,145,6.1
tt0025309,Inside Information,movie,1934,25-Sep-34,48,"Action, Adventure, Crime",Robert F. Hill,"Bert Ennis, Victor Potel, Betty Laidlaw","Rex Lease, Marion Shilling, Tarzan","Lloyd Wilson, trusted employee of an investment firm, is suspected of theft when $20,000 in security bonds is stolen from his office. Tarzan, the Famous Police Dog, has an intuitive dislike of an apparently respectable citizen, an...",English,United States,70,5.4
tt0025509,Les Misérables,movie,1934,27-Oct-36,281,Drama,Raymond Bernard,"Victor Hugo, André Lang, Raymond Bernard","Harry Baur, Charles Vanel, Paul Azaïs","The lives of numerous people over the course of 20 years in 19th century France, weaved together by the story of an ex-convict named Jean Valjean on the run from an obsessive police inspector, who pursues him for only a minor offe...",French,France,"2,019",8.3
